OBJECTID,NOMBRE,DIRECCION,SUPERFICIE,PROPIEDAD_TERRENO,DETALLE_PROPIEDAD,ROL,USO_AREA_VERDE,DETALLE_USO_AREA_VERDE,AGNO_APERTURA,COSTO_CONSTRUCCION,FUENTE_FINANCIAMIENTO,DETALLE_FUENTE_FINANCIAMIENTO,ADMINISTRACION,DETALLE_ADMINISTRACION,COSTO_ANUAL_MANTENCION,SUMINISTRO_RIEGO,DETALLE_RIEGO,CONEXION_RED_AGUA,BAÑOS_ASISTENTES,BAÑOS_TRABAJADORES,NIVEL_CONSOLIDACION,TIPO_ACCESO_PUBLICO,COSTO_INGRESO,JUEGOS_INFANTILES,CANCHA_FUTBOL,MULTICANCHA,MAQUINAS_EJERCICIOS,ZONA_PICNIC,OTROS_EQUIPAMIENTOS,ESTACIONAMIENTOS_DISCAPACITADOS,BAÑO_DISCAPACITADOS,RUTA_ACCESIBLE,JUEGOS_ACCESIBLES,OBSERVACIONES,Capa,Programa,COM,REGION,PROVINCIA,Shape_Length,Shape_Area
11,PARQUE EL LOA,AVDA O'HIGGINS S/N,32119.05917217,MUNICIPAL, , ,Sí, ,1980,0,OTRO, ,MUNICIPAL, ,0, , ,Sí,NO HAY,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,Sí, ,Sí,Sí,Sí, ,No,No,No,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,02201,02,022,0.0170394483641965,2.82071636968864e-06
12,PARQUE JOSE SANTOS OSSA,AVDA EJERCITO SN,15744.2208951,MUNICIPAL, , ,Sí, ,0,0,MUNICIPAL, ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,Sí,Sí,No,Sí, ,No,No,No,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,02101,02,021,0.00545117424698816,1.39400435038625e-06
13,PARQUE LAS ALMEJAS,AV. CROACIA S/N,24592.53655175,OTRO,CONCESIONES MARÍTIMAS,-,Sí, ,0,0,MUNICIPAL, ,MUNICIPAL, ,0, , ,Sí,CONSTRUIDOS,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,Sí,Sí,No, ,No,No,No,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,02101,02,021,0.00905574552634051,2.17739664265425e-06
14,PARQUE JAPONES,AVDA ANGAMOS/CLUB HIPICO,6324.14512424,MUNICIPAL, , ,Sí, ,0,0,MIXTO, ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,No,No,No,No,No, ,No,No,No,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,02101,02,021,0.00409998452754188,5.59929416329251e-07
15,PARQUE LOS EVENTOS,AVDA PEREZ ZUJOVIC / VENEZUELA / EL COBRE,30869.03345798,MUNICIPAL, , ,Sí, ,0,0,MIXTO, ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,No,No, ,No,No,No, , ,Catastro Nacional de Parques Urbanos,Parques Urbanos,02101,02,021,0.0123956989419129,2.73226141255876e-06
16,PASEO DEL MAR,AVDA GRECIA/ROTONDA B MUNICIPAL/PISTELLI,28909.9817735,OTRO, , ,Sí, ,0,0,MIXTO, ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,No,No,No,No,No, ,Sí,No,No,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,02101,02,021,0.0146550141219284,2.5595857789348e-06
17,PASEO DEL MAR 2,AVDA GRECIA SN,22525.9702748,OTRO, , ,Sí, ,0,0,OTRO, ,OTRO, ,0,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No, ,No,No,Sí,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,02101,02,021,0.0189275773630707,1.99425019788668e-06
18,PLAZA PABLO NERUDA,AVDA PEREZ ZUJOVIC SN,23868.52261846,OTRO, , ,No, ,0,0,MIXTO, ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,REGULAR CONSOLIDACION,GRATUITO,0,Sí,No,No,No,No, ,No,No,No, , ,Catastro Nacional de Parques Urbanos,Parques Urbanos,02101,02,021,0.00793959478037125,2.11251871746889e-06
19,PARQUE LOS PINARES,AVDA PEREZ ZUJOVIC SN,23847.2600391,OTRO, , ,No, ,0,0,MIXTO, ,MUNICIPAL, ,0,OTRO, ,No,CONSTRUIDOS,NO HAY,REGULAR CONSOLIDACION,GRATUITO,0,Sí,Sí,Sí,Sí,No, ,No,No,Sí,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,02101,02,021,0.00881328419015182,2.11033602083113e-06
20,PARQUE NICOLAS TIRADO,CALLE LOS PIMIENTOS INTERSECTA CON AVENIDA PEDRO AGUIRRE CERDA,29242.0192097,MUNICIPAL, , ,Sí, ,0,0,MIXTO, ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,Sí,No,No,No,No, ,Sí,No,No,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,02101,02,021,0.0136499903718501,2.58750462260922e-06
21,PARQUE SAN MARCOS,AVENIDA PEDRO AGUIRRE CERDA INTERSECTA CON CALLE AGUAS CALIENTES,15902.33094042,MUNICIPAL, , ,No,ZUDC 04,2013,0,NO CUENTA CON FINANCIAMIENTO, , , ,0,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,No,No, ,No,No,No,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,02101,02,021,0.00465892800073039,1.40652726227417e-06
22,PLAZA DE ARMAS TALTAL,AVENIDA ARTURO PRAT N°500-598,16842.10719558,B.N.U.P,NO HAY REGISTRO,no hay registro,Sí, ,2005,0,GORE,no hay registro,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,CONSTRUIDOS,NO HAY,CONSOLIDADO,GRATUITO,0,No,No,No,No,No,4 QUIOSCOS,No,No,Sí,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,02104,02,021,0.00486804711686886,1.51142830310664e-06
23,PLAZA RIQUELME 'EX CAPITANÍA DE PUERTO TALTAL',AVENIDA ESMERALDA N°501-599,6775.18998548,FISCAL,NO HAY REGISTRO,101-1,Sí, ,2013,0,MINVU,no hay registro,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,CONSTRUIDOS,NO HAY,CONSOLIDADO,GRATUITO,0,No,No,No,No,No,1 OFICINA DE TURISMO Y 1 COMERCIO COMIDA RÁPIDA,No,No,Sí,No,"ROL DE AVALÚO 101-1 PARCIALIDAD DEL SITIO, Y OTRA PARCIALIDAD ES FISCAL",Catastro Nacional de Parques Urbanos,Parques Urbanos,02104,02,021,0.00384073139825744,6.08002446158943e-07
24,PARQUE JOSE SAAVEDRA,,6217.15946228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,02201,02,022,0.00348765284898761,5.45894444126514e-07
25,PLAZA CARLOS CONDELL,CALLE 21 DE MAYO INTERSECTA CON CALLE ANIBAL PINTO,7590.88532847,MUNICIPAL,,95-005,Sí,,1930,0,NO CUENTA CON FINANCIAMIENTO,NO HAY REGISTRO,MUNICIPAL,,,MEDIDOR AGUA POTABLE,,Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,No,No,No,No,No,CONTIENE UN ODEÓN Y UN ANFITEATRO AL AIRE LIBRE,No,No,Sí,No,,Catastro Nacional de Parques Urbanos,Parques Urbanos,02301,02,023,0.00340118501375053,6.6458365954826e-07
26,PARQUE DEPORTIVO Y RECREATIVO JUAN LÓPEZ,CALLE SIERRA NEVADA INTERSECTA CON CALLE PABLO NERUDA,94942.61177328,,,,Sí,,,,GORE,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,02101,02,021,0.0119412429126695,8.39971933275341e-06
27,PARQUE VILLA ESPERANZA,CALLE JUAN BOLIVAR INTERSECTA CON AVENIDA CIRCUNVALACIÓN NORTE,22527.33320846,,,,No,E10,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,02101,02,021,0.00673496157144126,1.99330488382714e-06
28,PARQUE CROACIA,AVENIDA CROACIA INTERSECTA CON CALLE ESPRONCEDA,24921.76511044,,,,No,E4C,2017,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,02101,02,021,0.00721370200726702,2.2066174184426e-06
29,PLAZA PRESIDENTE SALVADOR ALLENDE,,11734.38294697,MUNICIPAL,JUAN MARTINEZ S/N,Plaza AVE 16,Sí,,2009,,MOP,,MUNICIPAL,,,MEDIDOR AGUA POTABLE,,Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,,Sí,No,No,Sí,No,QUIOSCOS,No,No,Sí,Sí,,Catastro Nacional de Parques Urbanos,Parques Urbanos,03202,03,032,0.00413571783474138,1.06197370458517e-06
30,QUINTA LOS CHAÑARES,CONTIGUA AL LIMITE URBANO DE DIEGO DE ALMAGRO,80454.13608098,MUNICIPAL,,357-2,Sí,,,,MUNICIPAL,,MUNICIPAL,,5000000,CAMION ALJIBE,,Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,,Sí,No,No,Sí,Sí,SALÓN DE ENTRETENCIÓN,No,No,Sí,Sí,BAÑOS PARA ASISTENTES UTIILIZADOS POR TRABAJADORES,Catastro Nacional de Parques Urbanos,Parques Urbanos,03202,03,032,0.0116057559079662,7.28212778199467e-06
31,BMADEJÓN AV.HENRIQUEZ,AV.HENRIQUEZ,8466.01045775,B.N.U.P,,,No,Z,2017,,MINVU,,MUNICIPAL,,,MEDIDOR AGUA POTABLE,,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,No,No,No,No,No,BANCAS Y CIVLOVÍA,No,No,No,No,MEJORADO DESPUÉS DEL ALUVIÓN 2015,Catastro Nacional de Parques Urbanos,Parques Urbanos,03101,03,031,0.0167724215207904,7.72547330440499e-07
32,BANDEJÓN CENTRAL CHORRILLOS,PLAYA CHORRILOS,27340.15862924,MUNICIPAL,,,Sí,,,,MINVU,,MUNICIPAL,,,MEDIDOR AGUA POTABLE,,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,,Sí,Sí,Sí,Sí,Sí,,No,No,Sí,Sí,,Catastro Nacional de Parques Urbanos,Parques Urbanos,03102,03,031,0.0129193555441899,2.48753426929614e-06
33,PARQUE GRUTA PADRE NEGRO,CANAL BEAGLE -EDWARDS,8524.64240999,MUNICIPAL,,,Sí,,2006,363220000,GORE,,MUNICIPAL,,6480000,MEDIDOR AGUA POTABLE,,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,,Sí,No,No,Sí,No,GRUTA,No,No,Sí,No,,Catastro Nacional de Parques Urbanos,Parques Urbanos,03102,03,031,0.00395104885268657,7.7558956482146e-07
34,EL PRETIL,LUIS FLORES,96066.04788293,MUNICIPAL,,,,,,,,,MUNICIPAL,,,CANAL,,,,NO HAY,REGULAR CONSOLIDACION,GRATUITO,,No,No,No,No,Sí,MEDIALUNA,No,No,No,No,,Catastro Nacional de Parques Urbanos,Parques Urbanos,03101,03,031,0.0127056188475223,8.76791246875928e-06
35,PARQUE HUASCO,IGNACIO CARRERA PINTO S/N,18706.74487425,MUNICIPAL,,148-53 LOTE A1,No,EL PRC ESTÁ EN ESTUDIO,2012,0,OTRO,"PRIVADO, EMPRESA GUACOLDA",OTRO,MUNICIPAL Y PRIVADO (EMPRESA GUACOLDA),,CANAL,,Sí,CONSTRUIDOS,CONSTRUIDOS,REGULAR CONSOLIDACION,GRATUITO,0,Sí,No,No,No,No,ANFITEATRO,No,No,No,No,ESTE PARQUE SE ENCUENTRA EN ETAPA DE DISEÑO FINANCIADO POR EL GOBIERNO REGIONAL.,Catastro Nacional de Parques Urbanos,Parques Urbanos,03304,03,033,0.00588968295219524,1.72286606670023e-06
36,PARQUE OJANCOS,CALLE OJANCOS,35807.32579028,,,,,NO HAY IPT,,,,,MUNICIPAL,,,,,,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,,No,,,,Sí,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,03103,03,031,0.0176407563708388,3.27118341616099e-06
37,PASEO RIVEREÑO,AV. COSTANERA,151857.86499731,B.N.U.P,,,No,Z,1994,0,GORE,,MUNICIPAL,,,CANAL,,Sí,CONSTRUIDOS,PORTATILES,CONSOLIDADO,GRATUITO,0,Sí,Sí,Sí,Sí,Sí,"CICLOVIAS, SKATE PARK",Sí,No,Sí,Sí,,Catastro Nacional de Parques Urbanos,Parques Urbanos,03301,03,033,0.0648989281247077,1.40072483476268e-05
38,PARQUE SCHNEIDER,AV. COPAYAPU CON CALLE ESTADIO,16506.12326578,B.N.U.P,,,Sí,,2017,800000000,MINVU,,MUNICIPAL,,,MEDIDOR AGUA POTABLE,,Sí,CONSTRUIDOS,PORTATILES,CONSOLIDADO,GRATUITO,,Sí,No,Sí,Sí,No,"SKATE PARCK, QUIESKO",No,Sí,Sí,Sí,PARQUE EXISTENTE QUE FUE MEJORADO DESPUÉS DEL ALUVIÓN 2015,Catastro Nacional de Parques Urbanos,Parques Urbanos,03101,03,031,0.00482505630919387,1.50639033247856e-06
39,PLAZA DE ARMAS COPIAPÓ,CALLE COLIPÍ CON CALLE O´HIGGINS,13657.53383799,B.N.U.P,,,Sí,,,,,,MUNICIPAL,,,MEDIDOR AGUA POTABLE,,Sí,NO HAY,PORTATILES,CONSOLIDADO,GRATUITO,0,No,No,No,No,No,"KIOSKO ORFEÓN, BANCAS, JUEGOS DE MES, FERIA ARTESANAL",No,No,No,No,,Catastro Nacional de Parques Urbanos,Parques Urbanos,03101,03,031,0.00437577799270425,1.24630603437244e-06
40,PARQUE EL PALOMAR,CALLE EL PARQUE,11085.17600226,B.N.U.P,,,,,1998,50000000,MINVU,,MUNICIPAL,,,MEDIDOR AGUA POTABLE,,Sí,NO HAY,PORTATILES,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No,,No,No,No,No,,Catastro Nacional de Parques Urbanos,Parques Urbanos,03101,03,031,0.00465279700358516,1.01172062699722e-06
41,AREA VERDE SIN NOMBRE,PJE. SALITRERA ENCARNACIÓN,8434.49879386,B.N.U.P,,,No,"ZB  MIXTA DE VIVIENDA, EQUIP, TALLER",1998,50000000,MINVU,,MUNICIPAL,,,MEDIDOR AGUA POTABLE,,Sí,NO HAY,PORTATILES,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No,VEGETA,No,No,No,No,,Catastro Nacional de Parques Urbanos,Parques Urbanos,03101,03,031,0.00701005006033333,7.69795550774852e-07
42,PARQUE BANDEJÓN CENTRAL,AV. JUAN MARTÍNEZ DE ROSAS,22704.13268767,B.N.U.P,,,Sí,,,0,MUNICIPAL,,MUNICIPAL,,,MEDIDOR AGUA POTABLE,,Sí,CONSTRUIDOS,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No,,No,No,No,No,,Catastro Nacional de Parques Urbanos,Parques Urbanos,03202,03,032,0.0168570605456632,2.05477859655786e-06
43,VIVERO MUNICIPAL,ANDRÉS SABALA S/N QUINTA VALLE,97473.61303698,MUNICIPAL,,,Sí,,1920,,MUNICIPAL,Sin información,MUNICIPAL,,,CANAL,,Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,No,No,Sí,No,Sí,QUINCHO,No,No,No,No,,Catastro Nacional de Parques Urbanos,Parques Urbanos,03301,03,033,0.016378670942654,8.99135432456181e-06
44,PARQUE QUINTA VALLE,CALLE ALMANCAY CON CALLE SERRANO,11427.75002157,B.N.U.P,,0,No,Z,2014,800000000,MIXTO,Mu,MUNICIPAL,,,MEDIDOR AGUA POTABLE,,Sí,CONSTRUIDOS,PORTATILES,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,Sí,"QUINCHOS, PERGOLAS, SOMBREADEROS",Sí,No,Sí,Sí,,Catastro Nacional de Parques Urbanos,Parques Urbanos,03301,03,033,0.00412091597193207,1.05410487147888e-06
45,PASEO BELTRÁN AMENÁBAR ETAPA I,"AVENIDA BELTRÁN AMENÁBAR,ANDACOLLO",6954.57123193,B.N.U.P, , , , ,0,0, , , , ,0,POZO, ,Sí,NO HAY,NO HAY,CONSOLIDADO, ,0,Sí,No,No,Sí,No, ,Sí,No,Sí,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,04103,04,041,0.00746469607146854,6.5162739890044e-07
46,PARQUE LOS PEÑONES OVALLE,RUTAD-55 S/N,35479.95397842,MUNICIPAL, , ,Sí, ,1968,0,MUNICIPAL, ,MUNICIPAL, ,0,CANAL, ,Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,Sí,No,Sí,Sí,Sí,NO,Sí,No,Sí,Sí, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,04301,04,043,0.0111963287738861,3.33617858561821e-06
47, , ,11729.45854508, , , , , ,0,0, , , , ,0, , , , , , , ,0,, , , , , , , , , , ,Catastro Nacional de Parques Urbanos,Parques Urbanos,04106,04,041,0.0192503568022,1.09719362211697e-06
48,PARQUE AMBROSIO O'HIGGINS,CALLE BRASIL 0085-A,11433.49379246,MUNICIPAL, ,300-17,Sí, ,2003,0, , ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,Sí,No,No,No,No, ,No,Sí,Sí,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,04201,04,042,0.00418483197862436,1.0866647004381e-06
49,PLAZA DE ARMAS ILLAPEL,CONSTITUCIÓN,7075.32337598,MUNICIPAL, ,EN TRAMITE,Sí, ,2013,0,GORE, ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,CONSTRUIDOS,NO HAY,CONSOLIDADO,GRATUITO,0,No,No,No,No,No,CAFETERIA,No,Sí,Sí,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,04201,04,042,0.00330163917295166,6.72460560115923e-07
50,PARQUE CERRO HÉROES DE LA CONCEPCIÓN,CALLE TOMAS DAVIS INTERSECTA CON CALLE O´HIGGINS ENTRE CALLE O´HIGGINS Y CALLE MANUEL BULNES,41208.32869086,MUNICIPAL, , ,Sí, ,0,0,MUNICIPAL, , , ,0, , , , , , , ,0,, , , , , , , , , , ,Catastro Nacional de Parques Urbanos,Parques Urbanos,04204,04,042,0.0121306046081455,3.92355938600388e-06
51,ALAMEDA DE COMBARBALÁ,AVENIDA SUR,10223.07382261,B.N.U.P, ,No hay registro,No,SIN P.R.C.,0,0,MUNICIPAL, ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,Sí,Sí,Sí,Sí,No, ,No,No,Sí,Sí, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,04302,04,043,0.0101672997100853,9.6725769889107e-07
52,PLAZA DE ARMAS DE COMBARBALÁ,SAN CARLOS INTERSECCIÓN MAIPÚ,8471.16656495,B.N.U.P, ,No hay registro,No,SIN P.R.C,1875,0,MUNICIPAL, ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,No,No,No,No,No, ,Sí,No,Sí,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,04302,04,043,0.00360131969144315,8.01427485756927e-07
53, , ,12438.2073106, , , , , ,0,0, , , , ,0, , , , , , , ,0,, , , , , , , , , , ,Catastro Nacional de Parques Urbanos,Parques Urbanos,04102,04,041,0.00444924974089377,1.1621550762971e-06
